epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.336,1.47425,1.64969,1.58795,0.53173,0.45573,0.35218,0.21204,1.46021,1.63788,1.77824,0.0670575,0.000332753,0.000332753
2,310.992,1.42663,1.21444,1.56154,0.55973,0.4952,0.51662,0.2845,1.43777,1.37668,1.81062,0.034052,0.000660591,0.000660591
3,452.72,1.37967,1.11219,1.52224,0.50754,0.57131,0.54251,0.29809,1.4589,1.07305,1.78016,0.001041,0.000982929,0.000982929
4,592.545,1.38601,1.06122,1.52548,0.55634,0.67745,0.65582,0.37839,1.34749,0.90563,1.67858,0.00097525,0.00097525,0.00097525
5,732.855,1.33812,0.9919,1.49723,0.59493,0.66882,0.65907,0.37972,1.33485,0.90796,1.66826,0.000967,0.000967,0.000967
6,872.908,1.34249,0.98573,1.49809,0.73532,0.62733,0.70389,0.41724,1.32473,0.85887,1.6538,0.00095875,0.00095875,0.00095875
7,1013.04,1.33921,0.94904,1.49008,0.66007,0.71483,0.70992,0.42135,1.28294,0.79776,1.64107,0.0009505,0.0009505,0.0009505
8,1153.34,1.31151,0.91785,1.47014,0.75943,0.65642,0.73894,0.4447,1.28492,0.77435,1.6255,0.00094225,0.00094225,0.00094225
9,1293.14,1.31837,0.91078,1.47886,0.7575,0.66809,0.73672,0.44026,1.28531,0.75671,1.63397,0.000934,0.000934,0.000934
10,1434.09,1.30026,0.8841,1.46896,0.68883,0.6424,0.7498,0.44291,1.28453,0.74855,1.6276,0.00092575,0.00092575,0.00092575
11,1574.21,1.29462,0.86988,1.46574,0.75732,0.71609,0.77669,0.45789,1.29364,0.75326,1.62047,0.0009175,0.0009175,0.0009175
12,1727.45,1.28817,0.85119,1.45429,0.67566,0.78538,0.79642,0.47266,1.27345,0.69811,1.62183,0.00090925,0.00090925,0.00090925
13,1898.57,1.29517,0.85008,1.45223,0.68093,0.66414,0.76,0.45709,1.27368,0.71874,1.61216,0.000901,0.000901,0.000901
14,2066.13,1.27946,0.82328,1.45651,0.77228,0.78556,0.82956,0.494,1.26141,0.67184,1.60046,0.00089275,0.00089275,0.00089275
15,2234.39,1.2695,0.82151,1.43535,0.80242,0.72682,0.79308,0.4598,1.29544,0.76959,1.63655,0.0008845,0.0008845,0.0008845
16,2403.48,1.26629,0.81252,1.43629,0.71574,0.77891,0.78462,0.46624,1.28056,0.71286,1.61487,0.00087625,0.00087625,0.00087625
17,2572.18,1.25985,0.80932,1.43315,0.80323,0.78883,0.82472,0.48934,1.28588,0.66667,1.62478,0.000868,0.000868,0.000868
18,2742.22,1.25743,0.78775,1.43657,0.77202,0.80354,0.82748,0.49667,1.24509,0.65393,1.58885,0.00085975,0.00085975,0.00085975
19,2912.61,1.25945,0.78494,1.44434,0.80058,0.79477,0.83465,0.5021,1.25607,0.63867,1.60714,0.0008515,0.0008515,0.0008515
20,3130.22,1.2499,0.77567,1.42427,0.7895,0.81714,0.84358,0.49777,1.26642,0.64403,1.60046,0.00084325,0.00084325,0.00084325
21,3353.72,1.25519,0.76918,1.43221,0.80209,0.80823,0.8435,0.50331,1.262,0.6418,1.59979,0.000835,0.000835,0.000835
22,3588.39,1.24935,0.77357,1.42767,0.73909,0.81105,0.82377,0.50092,1.25686,0.65162,1.60606,0.00082675,0.00082675,0.00082675
23,3764.8,1.25301,0.7743,1.41882,0.82401,0.78929,0.85063,0.50458,1.27149,0.64036,1.60006,0.0008185,0.0008185,0.0008185
24,3910.76,1.23862,0.76602,1.42543,0.76728,0.79362,0.83113,0.49604,1.27078,0.62699,1.60656,0.00081025,0.00081025,0.00081025
25,4056.6,1.23766,0.75496,1.41504,0.79555,0.79221,0.84171,0.51191,1.26084,0.6125,1.59033,0.000802,0.000802,0.000802
26,4202.51,1.23992,0.76025,1.42192,0.84121,0.76575,0.84666,0.5034,1.26671,0.62648,1.60744,0.00079375,0.00079375,0.00079375
27,4349.98,1.2355,0.73898,1.41119,0.77087,0.82174,0.83644,0.50093,1.25232,0.61644,1.59175,0.0007855,0.0007855,0.0007855
28,4493.79,1.23813,0.73952,1.42193,0.84431,0.79379,0.85121,0.50958,1.2472,0.6171,1.58301,0.00077725,0.00077725,0.00077725
29,4637.9,1.21843,0.73128,1.41135,0.79799,0.80288,0.84314,0.504,1.25384,0.63006,1.5891,0.000769,0.000769,0.000769
30,4781.57,1.22687,0.73468,1.40665,0.82936,0.81446,0.85957,0.51343,1.25342,0.61309,1.5917,0.00076075,0.00076075,0.00076075
31,4934.8,1.2339,0.74094,1.42083,0.80717,0.81929,0.85157,0.51194,1.251,0.62137,1.58952,0.0007525,0.0007525,0.0007525
32,5078.85,1.2303,0.73164,1.41246,0.85086,0.80961,0.87682,0.51428,1.25255,0.59416,1.58947,0.00074425,0.00074425,0.00074425
33,5222.45,1.21934,0.72778,1.40074,0.80574,0.84706,0.86871,0.52516,1.23846,0.60431,1.58672,0.000736,0.000736,0.000736
34,5377.78,1.21483,0.72512,1.40404,0.852,0.82121,0.86562,0.51637,1.24183,0.59116,1.58817,0.00072775,0.00072775,0.00072775
35,5521.54,1.21074,0.7095,1.40095,0.79303,0.84546,0.86336,0.52306,1.24473,0.58256,1.58631,0.0007195,0.0007195,0.0007195
36,5665.32,1.20075,0.70847,1.39601,0.77533,0.84134,0.85377,0.5177,1.2475,0.58716,1.58081,0.00071125,0.00071125,0.00071125
37,5808.97,1.21876,0.71611,1.4034,0.77018,0.81623,0.8456,0.51045,1.2469,0.59403,1.58777,0.000703,0.000703,0.000703
38,5963.2,1.20244,0.70471,1.40183,0.82871,0.81279,0.8575,0.51702,1.24544,0.58761,1.58514,0.00069475,0.00069475,0.00069475
39,6117.12,1.18676,0.69747,1.38535,0.79678,0.85324,0.86204,0.52001,1.25698,0.59081,1.59413,0.0006865,0.0006865,0.0006865
40,6272.82,1.21187,0.69726,1.40413,0.82586,0.85441,0.87172,0.51532,1.24765,0.59515,1.57821,0.00067825,0.00067825,0.00067825
41,6426.6,1.20404,0.70614,1.39166,0.85665,0.84273,0.87094,0.52297,1.25159,0.58149,1.57904,0.00067,0.00067,0.00067
42,6580.72,1.19828,0.69994,1.39041,0.79841,0.85163,0.86343,0.52713,1.23974,0.58856,1.57431,0.00066175,0.00066175,0.00066175
43,6734.01,1.19,0.68581,1.37866,0.8275,0.80691,0.85449,0.5154,1.24046,0.60436,1.58305,0.0006535,0.0006535,0.0006535
44,6897.76,1.19751,0.68312,1.39131,0.80512,0.84165,0.86615,0.52968,1.23645,0.57142,1.57477,0.00064525,0.00064525,0.00064525
45,7041.55,1.20611,0.68726,1.40185,0.78835,0.83268,0.85898,0.529,1.23101,0.58807,1.56844,0.000637,0.000637,0.000637
46,7195.42,1.19899,0.67789,1.39003,0.8077,0.84407,0.85854,0.51417,1.25451,0.58498,1.58995,0.00062875,0.00062875,0.00062875
47,7359.37,1.18822,0.67049,1.38193,0.83249,0.85056,0.87218,0.52899,1.25671,0.56812,1.59608,0.0006205,0.0006205,0.0006205
48,7513.43,1.1918,0.68135,1.3834,0.78894,0.85967,0.85878,0.51957,1.24751,0.56911,1.58432,0.00061225,0.00061225,0.00061225
49,7657.8,1.20088,0.68747,1.39181,0.83343,0.84293,0.8662,0.52583,1.2453,0.57455,1.58097,0.000604,0.000604,0.000604
50,7811.3,1.1822,0.66655,1.38493,0.86196,0.83212,0.87228,0.52493,1.24795,0.56579,1.58679,0.00059575,0.00059575,0.00059575
51,7966.37,1.18908,0.67769,1.38748,0.80441,0.84645,0.87264,0.53577,1.24041,0.59634,1.58254,0.0005875,0.0005875,0.0005875
52,8120.5,1.17687,0.66073,1.37674,0.83038,0.86129,0.87516,0.52612,1.23629,0.56823,1.58337,0.00057925,0.00057925,0.00057925
53,8286.22,1.18537,0.66182,1.38185,0.83694,0.8578,0.8767,0.53102,1.25746,0.57424,1.58332,0.000571,0.000571,0.000571
54,8455.8,1.17679,0.65702,1.37398,0.81281,0.84522,0.85676,0.52919,1.23366,0.57372,1.57615,0.00056275,0.00056275,0.00056275
55,8627.41,1.17094,0.65966,1.37837,0.83881,0.82591,0.87218,0.52952,1.2407,0.56782,1.5746,0.0005545,0.0005545,0.0005545
56,8799.71,1.17,0.65445,1.37745,0.84156,0.83029,0.88453,0.54047,1.23486,0.55564,1.58063,0.00054625,0.00054625,0.00054625
57,8970.59,1.17964,0.65449,1.38058,0.8517,0.83536,0.87155,0.52858,1.25257,0.56424,1.58819,0.000538,0.000538,0.000538
58,9140.72,1.16465,0.65146,1.37361,0.83453,0.84697,0.87142,0.52995,1.24227,0.558,1.57883,0.00052975,0.00052975,0.00052975
59,9309.93,1.16933,0.65164,1.37522,0.85046,0.84661,0.88535,0.5367,1.23585,0.55507,1.57873,0.0005215,0.0005215,0.0005215
60,9488.74,1.16487,0.64401,1.37281,0.84967,0.87048,0.8822,0.53909,1.23398,0.54984,1.57175,0.00051325,0.00051325,0.00051325
61,9637.82,1.17385,0.65143,1.38218,0.82269,0.85856,0.87149,0.53333,1.22813,0.55216,1.57413,0.000505,0.000505,0.000505
62,9782.66,1.17225,0.64941,1.3647,0.80636,0.87355,0.88894,0.54569,1.22853,0.55426,1.57086,0.00049675,0.00049675,0.00049675
63,9926.04,1.15603,0.6425,1.36527,0.83812,0.86992,0.88801,0.54157,1.23737,0.54908,1.57416,0.0004885,0.0004885,0.0004885
64,10069.4,1.15738,0.6357,1.36077,0.83312,0.86313,0.88212,0.5392,1.23289,0.54446,1.57452,0.00048025,0.00048025,0.00048025
65,10225.8,1.16767,0.64917,1.37495,0.84475,0.85525,0.87921,0.53977,1.23049,0.55125,1.57999,0.000472,0.000472,0.000472
66,10369.6,1.16232,0.63215,1.36436,0.83962,0.84309,0.88265,0.54423,1.22611,0.54882,1.56668,0.00046375,0.00046375,0.00046375
67,10512.6,1.15767,0.63481,1.3752,0.81664,0.85471,0.86783,0.53942,1.22961,0.56958,1.57125,0.0004555,0.0004555,0.0004555
68,10654.6,1.15777,0.63887,1.36686,0.84118,0.86498,0.88701,0.54575,1.22494,0.54644,1.56875,0.00044725,0.00044725,0.00044725
69,10817.5,1.1425,0.62318,1.3548,0.86336,0.86204,0.88502,0.53859,1.22406,0.54963,1.56205,0.000439,0.000439,0.000439
70,10969.3,1.14834,0.61758,1.35469,0.85936,0.8695,0.89155,0.54219,1.23015,0.54023,1.56918,0.00043075,0.00043075,0.00043075
71,11110.8,1.14189,0.6171,1.35717,0.84337,0.87876,0.88777,0.53945,1.22412,0.54639,1.56716,0.0004225,0.0004225,0.0004225
72,11262.5,1.1505,0.62506,1.35853,0.84918,0.86163,0.88895,0.54363,1.23338,0.54297,1.57197,0.00041425,0.00041425,0.00041425
73,11404.1,1.13966,0.61937,1.35706,0.86202,0.8407,0.87934,0.53853,1.23311,0.54125,1.57293,0.000406,0.000406,0.000406
74,11570.8,1.1447,0.61758,1.35758,0.85167,0.869,0.88148,0.54124,1.24193,0.54656,1.58112,0.00039775,0.00039775,0.00039775
75,11741,1.13395,0.62257,1.34483,0.8397,0.87979,0.88857,0.54449,1.22903,0.53425,1.56961,0.0003895,0.0003895,0.0003895
76,11909.6,1.13685,0.61722,1.34679,0.84446,0.87736,0.89339,0.54733,1.23115,0.53434,1.57199,0.00038125,0.00038125,0.00038125
77,12078,1.13872,0.61777,1.35729,0.85899,0.87238,0.88966,0.54308,1.23426,0.5438,1.5755,0.000373,0.000373,0.000373
78,12268.4,1.13894,0.62017,1.35586,0.84897,0.87747,0.89385,0.55136,1.23333,0.53966,1.57238,0.00036475,0.00036475,0.00036475
79,12437.8,1.13671,0.61087,1.34975,0.8581,0.87406,0.89048,0.54225,1.23464,0.53681,1.57532,0.0003565,0.0003565,0.0003565
80,12620.8,1.14606,0.60647,1.35564,0.8423,0.8707,0.8855,0.54472,1.23167,0.54157,1.57478,0.00034825,0.00034825,0.00034825
81,12790.6,1.12973,0.60615,1.34332,0.86079,0.86476,0.89109,0.54738,1.23134,0.53225,1.57111,0.00034,0.00034,0.00034
82,12960.8,1.12584,0.59283,1.35,0.82556,0.86991,0.87788,0.54316,1.23089,0.53314,1.57704,0.00033175,0.00033175,0.00033175
83,13171.9,1.12906,0.59687,1.34923,0.86346,0.87407,0.88218,0.54112,1.23796,0.53957,1.57968,0.0003235,0.0003235,0.0003235
84,13446.5,1.13233,0.59504,1.34549,0.85654,0.87316,0.88878,0.54854,1.23139,0.53312,1.57562,0.00031525,0.00031525,0.00031525
85,13695.3,1.13526,0.60398,1.35043,0.82725,0.86597,0.87977,0.53705,1.23399,0.53478,1.5774,0.000307,0.000307,0.000307
86,13841.7,1.12734,0.594,1.34113,0.85067,0.86744,0.88939,0.54924,1.22896,0.52623,1.57282,0.00029875,0.00029875,0.00029875
87,14001.1,1.12446,0.58883,1.34352,0.84152,0.86647,0.88045,0.54916,1.23181,0.5318,1.57032,0.0002905,0.0002905,0.0002905
88,14145.2,1.12667,0.59075,1.34854,0.83681,0.87265,0.87769,0.54204,1.23531,0.53358,1.57494,0.00028225,0.00028225,0.00028225
89,14289.4,1.10165,0.58697,1.32862,0.8482,0.86494,0.87923,0.54464,1.23696,0.53305,1.57573,0.000274,0.000274,0.000274
90,14443.2,1.11265,0.58358,1.34173,0.8388,0.86651,0.88185,0.54545,1.23624,0.53035,1.57313,0.00026575,0.00026575,0.00026575
91,14606.5,1.11274,0.58273,1.33168,0.84772,0.85855,0.88021,0.54791,1.23741,0.52854,1.57672,0.0002575,0.0002575,0.0002575
92,14750,1.11431,0.58408,1.3316,0.85417,0.87154,0.89017,0.55323,1.23242,0.53172,1.57735,0.00024925,0.00024925,0.00024925
93,14894.3,1.11543,0.5892,1.33465,0.82721,0.87309,0.88424,0.54951,1.2351,0.53541,1.57732,0.000241,0.000241,0.000241
94,15047.9,1.10635,0.5864,1.33305,0.82486,0.88294,0.88707,0.55003,1.23226,0.52793,1.58065,0.00023275,0.00023275,0.00023275
95,15212.8,1.11476,0.5797,1.33639,0.84796,0.86983,0.88714,0.54906,1.23538,0.52811,1.57756,0.0002245,0.0002245,0.0002245
96,15356.6,1.11545,0.57895,1.33842,0.85541,0.8752,0.89379,0.55226,1.23713,0.53401,1.58016,0.00021625,0.00021625,0.00021625
97,15511,1.11494,0.58129,1.33993,0.81853,0.8829,0.88308,0.54955,1.23427,0.53064,1.57649,0.000208,0.000208,0.000208
98,15676,1.10848,0.57148,1.32774,0.8376,0.88274,0.886,0.54834,1.23475,0.52665,1.57745,0.00019975,0.00019975,0.00019975
99,15820.6,1.10022,0.57124,1.32411,0.85799,0.87514,0.8895,0.54445,1.2379,0.53112,1.57742,0.0001915,0.0001915,0.0001915
100,15966,1.09333,0.56219,1.32363,0.84746,0.88222,0.89128,0.54659,1.23907,0.53413,1.58331,0.00018325,0.00018325,0.00018325
101,16110.2,1.09486,0.57003,1.32087,0.86331,0.86794,0.89215,0.54706,1.23576,0.52691,1.58085,0.000175,0.000175,0.000175
102,16255.1,1.10288,0.57049,1.32673,0.84239,0.8724,0.89172,0.54654,1.23978,0.53024,1.58148,0.00016675,0.00016675,0.00016675
103,16402,1.09785,0.56586,1.32176,0.83509,0.88834,0.89231,0.54597,1.23783,0.53482,1.57943,0.0001585,0.0001585,0.0001585
104,16570.3,1.08295,0.5582,1.31595,0.85943,0.88636,0.89431,0.55007,1.23929,0.53032,1.57933,0.00015025,0.00015025,0.00015025
105,16741,1.0884,0.55871,1.31939,0.8498,0.87877,0.89398,0.55306,1.23649,0.52793,1.5788,0.000142,0.000142,0.000142
106,16909.5,1.08293,0.55847,1.31498,0.85127,0.87689,0.89486,0.54715,1.24,0.53035,1.58316,0.00013375,0.00013375,0.00013375
107,17085.3,1.08733,0.55223,1.32324,0.86039,0.8715,0.88983,0.54886,1.24226,0.52942,1.58655,0.0001255,0.0001255,0.0001255
108,17254.8,1.09073,0.55572,1.31853,0.8485,0.87629,0.88169,0.54585,1.24469,0.53124,1.58757,0.00011725,0.00011725,0.00011725
109,17424.7,1.08508,0.56029,1.31913,0.86399,0.87315,0.88616,0.54663,1.2439,0.53096,1.58586,0.000109,0.000109,0.000109
110,17599.9,1.09337,0.5535,1.32483,0.85443,0.87723,0.88645,0.5438,1.24194,0.53343,1.58265,0.00010075,0.00010075,0.00010075
111,17826.5,1.0836,0.45522,1.41849,0.84805,0.8716,0.8843,0.54267,1.24309,0.53552,1.58383,9.25e-05,9.25e-05,9.25e-05
112,17971.1,1.07827,0.44895,1.4115,0.86135,0.85723,0.88404,0.54283,1.24558,0.53674,1.58647,8.425e-05,8.425e-05,8.425e-05
113,18115.1,1.07122,0.44402,1.41199,0.86598,0.85895,0.88291,0.54287,1.24796,0.5381,1.58858,7.6e-05,7.6e-05,7.6e-05
114,18258.7,1.07237,0.44291,1.40128,0.8453,0.87241,0.87817,0.54263,1.24787,0.53968,1.59008,6.775e-05,6.775e-05,6.775e-05
115,18402.9,1.07267,0.44004,1.41289,0.84371,0.88168,0.88086,0.54356,1.24563,0.53982,1.58679,5.95e-05,5.95e-05,5.95e-05
116,18546.8,1.06763,0.44017,1.40479,0.84778,0.87538,0.8804,0.54394,1.24589,0.53986,1.58763,5.125e-05,5.125e-05,5.125e-05
117,18691.4,1.06771,0.43666,1.40994,0.84968,0.87735,0.88044,0.54213,1.24867,0.54042,1.59234,4.3e-05,4.3e-05,4.3e-05
118,18836.2,1.06083,0.43636,1.39353,0.84357,0.88066,0.88368,0.54571,1.24873,0.54147,1.59145,3.475e-05,3.475e-05,3.475e-05
119,18979.8,1.05796,0.43174,1.39983,0.85903,0.86985,0.88583,0.54837,1.24818,0.54068,1.59155,2.65e-05,2.65e-05,2.65e-05
120,19123.8,1.05688,0.43323,1.39672,0.85499,0.87248,0.88516,0.54679,1.24706,0.53936,1.59116,1.825e-05,1.825e-05,1.825e-05
