epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.952,1.43779,1.92525,1.51282,0.53235,0.6132,0.49322,0.28995,1.31858,1.13,1.52442,0.000333043,0.000333043,0.000333043
2,578.457,1.39049,1.32344,1.44565,0.74198,0.54538,0.62745,0.35573,1.31966,1.00228,1.52098,0.000653182,0.000653182,0.000653182
3,832.492,1.36844,1.16383,1.42139,0.64678,0.63744,0.65329,0.37451,1.33818,0.9077,1.52514,0.000960121,0.000960121,0.000960121
4,1087.35,1.38279,1.09312,1.42774,0.70227,0.61495,0.6868,0.3947,1.32554,0.87041,1.49794,0.0009406,0.0009406,0.0009406
5,1340.01,1.34581,1.00704,1.40348,0.68554,0.65068,0.70192,0.40993,1.2761,0.8492,1.45846,0.0009208,0.0009208,0.0009208
6,1592.64,1.33444,0.99778,1.3924,0.70408,0.67769,0.74838,0.42161,1.28815,0.83062,1.46992,0.000901,0.000901,0.000901
7,1845.45,1.326,0.9501,1.38328,0.67606,0.7352,0.7685,0.44501,1.28978,0.77714,1.47473,0.0008812,0.0008812,0.0008812
8,2098.58,1.31204,0.9257,1.37523,0.74709,0.71492,0.76111,0.44633,1.27954,0.79302,1.46064,0.0008614,0.0008614,0.0008614
9,2352.23,1.28834,0.91261,1.36749,0.74511,0.75305,0.76603,0.44293,1.28356,0.73464,1.45814,0.0008416,0.0008416,0.0008416
10,2605.48,1.29201,0.89754,1.36115,0.6774,0.77305,0.77478,0.45283,1.28176,0.73239,1.44868,0.0008218,0.0008218,0.0008218
11,2857.34,1.28359,0.87326,1.35396,0.74794,0.76891,0.79782,0.4588,1.30937,0.72279,1.46472,0.000802,0.000802,0.000802
12,3108.25,1.27083,0.86097,1.34878,0.76325,0.80168,0.82049,0.47528,1.26773,0.6911,1.45214,0.0007822,0.0007822,0.0007822
13,3360.4,1.27453,0.85663,1.35128,0.79549,0.77328,0.8226,0.47382,1.26579,0.69329,1.44523,0.0007624,0.0007624,0.0007624
14,3612.79,1.26325,0.83251,1.34487,0.72297,0.80896,0.81901,0.48257,1.24975,0.68325,1.43571,0.0007426,0.0007426,0.0007426
15,3863.82,1.2549,0.8254,1.33712,0.75344,0.7781,0.80978,0.47991,1.25501,0.71328,1.43457,0.0007228,0.0007228,0.0007228
16,4114.03,1.24946,0.81646,1.33362,0.81133,0.80243,0.82614,0.49135,1.26616,0.67021,1.44526,0.000703,0.000703,0.000703
17,4364.75,1.24455,0.80865,1.33201,0.78486,0.8008,0.84138,0.49988,1.25772,0.66037,1.43224,0.0006832,0.0006832,0.0006832
18,4625.95,1.24957,0.79232,1.34035,0.69395,0.81309,0.80655,0.48715,1.26456,0.66122,1.44709,0.0006634,0.0006634,0.0006634
19,4895.56,1.24763,0.78394,1.33762,0.76963,0.7977,0.84581,0.50349,1.24887,0.65632,1.43804,0.0006436,0.0006436,0.0006436
20,5173.14,1.24552,0.77892,1.33221,0.78454,0.82991,0.84861,0.50105,1.26452,0.64107,1.42944,0.0006238,0.0006238,0.0006238
21,5493.31,1.23998,0.77001,1.33482,0.79845,0.82018,0.84924,0.50379,1.24521,0.63581,1.42145,0.000604,0.000604,0.000604
22,5816.08,1.22646,0.74774,1.32035,0.80244,0.83017,0.84952,0.51056,1.24883,0.63121,1.43272,0.0005842,0.0005842,0.0005842
23,6135.97,1.23104,0.77325,1.33132,0.81166,0.8231,0.84535,0.5141,1.24181,0.62607,1.42936,0.0005644,0.0005644,0.0005644
24,6454.53,1.22764,0.74724,1.32337,0.8136,0.83571,0.86579,0.52067,1.23492,0.62993,1.4237,0.0005446,0.0005446,0.0005446
25,6751.85,1.21921,0.74887,1.31603,0.81813,0.83173,0.8585,0.51623,1.23139,0.61825,1.41502,0.0005248,0.0005248,0.0005248
26,7046.88,1.20261,0.72329,1.314,0.8192,0.81931,0.85644,0.51654,1.23326,0.60517,1.42185,0.000505,0.000505,0.000505
27,7343.21,1.20601,0.73393,1.30848,0.80933,0.83876,0.86042,0.51193,1.23859,0.60419,1.42337,0.0004852,0.0004852,0.0004852
28,7622.72,1.20695,0.72925,1.31474,0.82757,0.81594,0.85254,0.51788,1.2238,0.60865,1.41623,0.0004654,0.0004654,0.0004654
29,7874.53,1.20365,0.71737,1.30652,0.80842,0.87501,0.87022,0.52728,1.24094,0.58988,1.42091,0.0004456,0.0004456,0.0004456
30,8123.86,1.19118,0.71072,1.30201,0.838,0.84807,0.87107,0.52822,1.2306,0.60032,1.41473,0.0004258,0.0004258,0.0004258
31,8388.17,1.19081,0.70189,1.30312,0.84672,0.8438,0.88425,0.52706,1.23193,0.60296,1.41694,0.000406,0.000406,0.000406
32,8664.47,1.18477,0.69461,1.29468,0.85039,0.82839,0.8708,0.52811,1.23566,0.59748,1.41082,0.0003862,0.0003862,0.0003862
33,8950.93,1.18551,0.69489,1.29866,0.84162,0.83203,0.87386,0.52867,1.22101,0.58764,1.41018,0.0003664,0.0003664,0.0003664
34,9237.95,1.19986,0.69777,1.30064,0.8226,0.83842,0.86779,0.52712,1.22414,0.58126,1.41657,0.0003466,0.0003466,0.0003466
35,9509.23,1.18048,0.6949,1.29692,0.84708,0.84081,0.87561,0.52681,1.2203,0.57327,1.41254,0.0003268,0.0003268,0.0003268
36,9775.89,1.18428,0.68123,1.30295,0.83185,0.85086,0.87485,0.52956,1.22551,0.57593,1.40977,0.000307,0.000307,0.000307
37,10037.2,1.17165,0.67789,1.28988,0.85456,0.83901,0.88697,0.53291,1.23035,0.57077,1.41251,0.0002872,0.0002872,0.0002872
38,10295.1,1.17259,0.67591,1.2947,0.84756,0.86891,0.88584,0.53608,1.23413,0.57143,1.41516,0.0002674,0.0002674,0.0002674
39,10567.3,1.1761,0.66768,1.2887,0.84822,0.85051,0.88431,0.5391,1.2224,0.56097,1.40572,0.0002476,0.0002476,0.0002476
40,10860.4,1.17589,0.66407,1.29296,0.89539,0.82015,0.8982,0.5443,1.22243,0.55491,1.41026,0.0002278,0.0002278,0.0002278
