epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6162.32,1.19828,0.69994,1.39041,0.79841,0.85163,0.86343,0.52713,1.23974,0.58856,1.57431,0.00066175,0.00066175,0.00066175
43,6303.14,1.19,0.68581,1.37866,0.8275,0.80691,0.85449,0.5154,1.24046,0.60436,1.58305,0.0006535,0.0006535,0.0006535
44,6445.21,1.19751,0.68312,1.39131,0.80512,0.84165,0.86615,0.52968,1.23645,0.57142,1.57477,0.00064525,0.00064525,0.00064525
45,6605.94,1.20611,0.68726,1.40185,0.78835,0.83268,0.85898,0.529,1.23101,0.58807,1.56844,0.000637,0.000637,0.000637
46,6757.52,1.19899,0.67789,1.39003,0.8077,0.84407,0.85854,0.51417,1.25451,0.58498,1.58995,0.00062875,0.00062875,0.00062875
47,6910.51,1.18822,0.67049,1.38193,0.83249,0.85056,0.87218,0.52899,1.25671,0.56812,1.59608,0.0006205,0.0006205,0.0006205
48,7057.77,1.1918,0.68135,1.3834,0.78894,0.85967,0.85878,0.51957,1.24751,0.56911,1.58432,0.00061225,0.00061225,0.00061225
49,7200.22,1.20088,0.68747,1.39181,0.83343,0.84293,0.8662,0.52583,1.2453,0.57455,1.58097,0.000604,0.000604,0.000604
50,7340.9,1.1822,0.66655,1.38493,0.86196,0.83212,0.87228,0.52493,1.24795,0.56579,1.58679,0.00059575,0.00059575,0.00059575
51,7487.87,1.18908,0.67769,1.38748,0.80441,0.84645,0.87264,0.53577,1.24041,0.59634,1.58254,0.0005875,0.0005875,0.0005875
