epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.175,1.41186,1.92828,1.46222,0.64334,0.58329,0.54335,0.31131,1.36567,1.13808,1.52375,0.000332753,0.000332753,0.000332753
2,349.615,1.37064,1.26363,1.41062,0.58324,0.61365,0.62278,0.35918,1.33819,0.97059,1.52757,0.000652897,0.000652897,0.000652897
3,504.604,1.34273,1.12921,1.38602,0.65671,0.63113,0.66711,0.37414,1.32967,0.9224,1.51013,0.000959842,0.000959842,0.000959842
