timestamp,date,day,drowsy_alarm,mobile_alarm,total_driving_time,drowsy_time,blink_rate,break_time
2025-02-07 15:21:00,2025-02-07,Friday,3,0,00:04:16,6,8.0,0
2025-02-07 15:22:00,2025-02-07,Friday,4,1,00:05:16,8,21.0,0
2025-02-07 15:23:00,2025-02-07,Friday,4,1,00:06:16,8,21.0,0
2025-02-07 15:24:00,2025-02-07,Friday,6,1,00:07:16,12,34.0,0
2025-02-07 15:25:00,2025-02-07,Friday,7,2,00:08:16,14,13.0,0
2025-02-07 15:26:00,2025-02-07,Friday,8,6,00:09:16,16,17.0,0
2025-02-07 15:27:00,2025-02-07,Friday,15,6,00:10:16,30,29.0,0
2025-02-07 15:28:00,2025-02-07,Friday,16,6,00:11:16,32,18.0,0
2025-02-07 15:29:00,2025-02-07,Friday,16,12,00:12:16,32,21.0,0
2025-02-07 15:30:00,2025-02-07,Friday,17,16,00:13:16,34,18.0,0
2025-02-07 15:31:00,2025-02-07,Friday,17,18,00:14:16,34,20.0,0
2025-02-07 15:32:00,2025-02-07,Friday,17,19,00:15:16,34,14.0,0
2025-02-07 15:33:00,2025-02-07,Friday,17,24,00:16:16,34,12.0,0
2025-02-07 15:34:00,2025-02-07,Friday,18,26,00:17:16,36,23.0,0
2025-02-07 15:35:00,2025-02-07,Friday,18,29,00:18:16,36,30.0,0
2025-02-07 15:36:00,2025-02-07,Friday,20,29,00:19:16,40,20.0,0
2025-02-07 15:37:00,2025-02-07,Friday,23,31,00:20:16,46,11.0,0
2025-02-07 15:38:00,2025-02-07,Friday,23,31,00:21:16,46,12.0,0
2025-02-07 15:39:00,2025-02-07,Friday,23,32,00:22:16,46,9.0,0
2025-02-07 15:40:00,2025-02-07,Friday,23,32,00:23:16,46,22.0,0
2025-02-07 15:41:00,2025-02-07,Friday,24,35,00:24:16,48,18.0,0
2025-02-07 15:42:00,2025-02-07,Friday,24,35,00:25:16,48,16.0,0
2025-02-07 15:43:00,2025-02-07,Friday,26,35,00:26:16,52,22.0,0
2025-02-07 15:44:00,2025-02-07,Friday,27,35,00:27:16,54,31.0,0
2025-02-07 15:45:00,2025-02-07,Friday,32,35,00:28:16,64,15.0,0
2025-02-07 15:46:00,2025-02-07,Friday,33,36,00:29:16,66,46.0,0
2025-02-07 15:47:00,2025-02-07,Friday,34,37,00:30:16,68,15.0,0
2025-02-07 15:48:00,2025-02-07,Friday,34,39,00:31:16,68,20.0,0
