timestamp,date,day,drowsy_alarm,mobile_alarm,total_driving_time,drowsy_time,blink_rate,break_time
2025-02-06 12:24:38,2025-02-06,Thursday,0,0,00:00:11,0,0.0,0
2025-02-06 12:24:38,2025-02-06,Thursday,0,0,00:00:08,0,0.0,0
2025-02-06 12:25:00,2025-02-06,Thursday,0,1,00:00:29,0,20.0,0
2025-02-06 12:25:00,2025-02-06,Thursday,0,0,00:00:32,0,0.0,0
2025-02-06 12:26:00,2025-02-06,Thursday,1,1,00:01:29,2,52.0,0
2025-02-06 12:26:00,2025-02-06,Thursday,0,0,00:01:32,0,0.0,0
2025-02-06 12:27:00,2025-02-06,Thursday,1,1,00:02:29,2,23.0,0
2025-02-06 12:27:00,2025-02-06,Thursday,0,0,00:02:32,0,0.0,0
2025-02-06 12:28:00,2025-02-06,Thursday,1,2,00:03:29,2,14.0,0
2025-02-06 12:28:00,2025-02-06,Thursday,0,0,00:03:32,0,0.0,0
2025-02-06 12:29:00,2025-02-06,Thursday,0,0,00:04:32,0,0.0,0
2025-02-06 12:30:00,2025-02-06,Thursday,0,0,00:05:32,0,0.0,0
2025-02-06 12:31:00,2025-02-06,Thursday,0,0,00:06:32,0,0.0,0
2025-02-06 12:31:35,2025-02-06,Thursday,0,0,00:00:00,0,0.0,0
2025-02-06 12:31:44,2025-02-06,Thursday,0,0,00:00:00,0,0.0,0
2025-02-06 12:31:47,2025-02-06,Thursday,0,0,00:00:00,0,0.0,0
2025-02-06 12:31:50,2025-02-06,Thursday,0,0,00:00:00,0,0.0,0
2025-02-06 12:32:00,2025-02-06,Thursday,0,0,00:00:24,0,4.0,0
2025-02-06 12:32:00,2025-02-06,Thursday,0,0,00:00:15,0,1.0,0
2025-02-06 12:32:00,2025-02-06,Thursday,0,0,00:00:12,0,0.0,0
2025-02-06 12:32:00,2025-02-06,Thursday,0,0,00:00:09,0,0.0,0
2025-02-06 12:32:00,2025-02-06,Thursday,0,0,00:07:32,0,0.0,0
2025-02-06 12:33:00,2025-02-06,Thursday,0,0,00:08:32,0,0.0,0
2025-02-06 12:33:00,2025-02-06,Thursday,0,0,00:01:24,0,5.0,0
2025-02-06 12:33:00,2025-02-06,Thursday,0,0,00:01:12,0,4.0,0
2025-02-06 12:33:00,2025-02-06,Thursday,0,0,00:01:15,0,10.0,0
