timestamp,date,day,drowsy_alarm,mobile_alarm,total_driving_time,drowsy_time,blink_rate,break_time
2025-02-06 11:48:45,2025-02-06,Thursday,0,0,00:00:11,0,0.0,0
2025-02-06 11:49:00,2025-02-06,Thursday,0,0,00:00:25,0,5.0,0
